"sampler","x","rho","r","accepted_draws","branch","expected_proposals_per_draw","empirical_proposals_per_draw","avg_qP_attempts_per_draw","runtime_seconds","runtime_per_10000_draws","avg_bound_iterations_per_draw","avg_series_terms_per_draw","avg_accept_N","sample_mean","expected_mean"
"SH26",1,0.01,0.01,10000,"option2",53.1851763500435,53.7104,0,23.495,23.495,53.7104,26962.9932,250,0.331983744624273,0.3333
"Current",1,0.01,0.01,10000,"P",1.08017017206456,1.083,2.0351,0.414999999999999,0.414999999999999,1.2227,3.1385,0.1162,0.336947614872426,0.3333
"SH26",1,0.1,0.1,10000,"option2",5.39931214666408,5.3645,0,2.376,2.376,5.3645,2693.0684,250,0.33252176656161,0.33
"Current",1,0.1,0.1,10000,"P",1.09905954450078,1.1002,2.0476,0.370999999999999,0.370999999999999,1.2651,3.1069,0.1415,0.331224610237777,0.33
"SH26",1,0.4,0.4,10000,"option2",1.58247585326151,1.5781,0,0.724,0.724,1.5781,792.4946,250,0.282134046496357,0.28
"Current",1,0.4,0.4,10000,"P",1.10702815693133,1.1088,2.0979,0.394000000000002,0.394000000000002,1.4295,2.8764,0.2972,0.278122621318356,0.28
"SH26",1,0.8,0.8,10000,"option1",1.64936348039668,1.667,0,0.783000000000001,0.783000000000001,1.667,839.0768,250,0.120889897588976,0.12
"Current",1,0.8,0.8,10000,"I",1.03494526616581,1.033,0,0.414999999999999,0.414999999999999,1.097,3.164,0.031,0.11922207124131,0.12
"SH26",1,0.99,0.99,10000,"option1",3.03763551030155,3.0805,0,1.456,1.456,3.0813,1599.789,250.04,0.00634049805912432,0.00663333333333334
"Current",1,0.99,0.99,10000,"I",1.00128853070219,1.0013,0,0.394000000000002,0.394000000000002,1.0067,3.0183,0.00409999999999992,0.00726985915671469,0.00663333333333334
