"sampler","x","accepted_draws","expected_proposals_per_draw","empirical_proposals_per_draw","avg_qI_attempts_per_draw","runtime_seconds","runtime_per_10000_draws","avg_bound_iterations_per_draw","avg_series_terms_per_draw","avg_accept_N"
"SH26",0.5,10000,1.28710857770339,1.2969,0,0.568,0.568,1.2969,1295.6031,250
"Current",0.5,10000,1.00117847027842,1.0009,2.0477,0.382,0.382,1.0016,3.0076,0
"SH26",1,10000,1.28710857770339,1.2908,0,0.522,0.522,1.2908,1289.5092,250
"Current",1,10000,1.00117847027842,1.0015,1.9869,0.309,0.309,1.0021,3.0087,0
"SH26",2,10000,1.28710857770339,1.2941,0,0.531,0.531,1.2941,1292.8059,250
"Current",2,10000,1.00117847027842,1.0012,1.9855,0.299,0.299,1.0019,3.0085,0
"SH26",4,10000,1.28710857770339,1.2796,0,0.512,0.512,1.2796,1278.3204,250
"Current",4,10000,1.00117847027842,1.0013,2.0137,0.301,0.301,1.0023,3.0109,0
"SH26",8,10000,1.28710857770339,1.292,0,0.514,0.514,1.292,1290.708,250
"Current",8,10000,1.00117847027842,1.0009,1.9867,0.311999999999999,0.311999999999999,1.0012,3.0048,0
