"rho","sampler","seconds_per_10000_draws"
0.01,"SH26 sample_from_f()",22.173
0.01,"Algorithm 4",0.511000000000003
0.05,"SH26 sample_from_f()",4.469
0.05,"Algorithm 4",0.419
0.1,"SH26 sample_from_f()",2.27
0.1,"Algorithm 4",0.403000000000002
0.15,"SH26 sample_from_f()",1.561
0.15,"Algorithm 4",0.393999999999998
0.2,"SH26 sample_from_f()",1.225
0.2,"Algorithm 4",0.402999999999999
0.25,"SH26 sample_from_f()",0.994
0.25,"Algorithm 4",0.423999999999999
0.3,"SH26 sample_from_f()",0.881999999999998
0.3,"Algorithm 4",0.408999999999999
0.35,"SH26 sample_from_f()",0.796999999999997
0.35,"Algorithm 4",0.399000000000001
0.4,"SH26 sample_from_f()",0.716000000000001
0.4,"Algorithm 4",0.402000000000001
0.45,"SH26 sample_from_f()",0.703000000000003
0.45,"Algorithm 4",0.396999999999998
0.5,"SH26 sample_from_f()",0.676000000000002
0.5,"Algorithm 4",0.398000000000003
0.55,"SH26 sample_from_f()",0.679000000000002
0.55,"Algorithm 4",0.394000000000005
0.6,"SH26 sample_from_f()",0.684000000000005
0.6,"Algorithm 4",0.394999999999996
0.65,"SH26 sample_from_f()",0.682000000000002
0.65,"Algorithm 4",0.388000000000005
0.7,"SH26 sample_from_f()",0.716999999999999
0.7,"Algorithm 4",0.387999999999998
0.75,"SH26 sample_from_f()",0.731999999999999
0.75,"Algorithm 4",0.393000000000001
0.8,"SH26 sample_from_f()",0.777999999999999
0.8,"Algorithm 4",0.376000000000005
0.85,"SH26 sample_from_f()",0.876000000000005
0.85,"Algorithm 4",0.377000000000002
0.9,"SH26 sample_from_f()",0.940000000000005
0.9,"Algorithm 4",0.372
0.95,"SH26 sample_from_f()",1.104
0.95,"Algorithm 4",0.368000000000002
0.99,"SH26 sample_from_f()",1.397
0.99,"Algorithm 4",0.367000000000004
